index,latitude,longitude,open_datetime,closed_datetime
8216,42.273443,-71.766591,1632474000.0,1632533400.0
8217,43.555075,-71.456031,1632470400.0,1632531600.0
8218,41.762669,-71.899855,1632474000.0,1632524400.0
8219,41.487299,-71.973637,1632470400.0,1632528000.0
8220,42.823754,-71.62636,1632474000.0,1632531600.0
8222,43.446135,-71.47446,1632474000.0,1632531600.0
8223,43.563245,-71.44749,1632477600.0,1632531600.0
8224,42.650272,-71.663385,1632474000.0,1632524400.0
8226,41.584781,-71.939542,1632474000.0,1632535200.0
8227,41.719206,-71.899452,1632470400.0,1632535200.0
8228,41.809594,-71.874989,1632474000.0,1632524400.0
8229,43.176793,-71.530479,1632470400.0,1632524400.0
8230,42.506714,-71.693252,1632474000.0,1632524400.0
8231,41.663281,-71.913363,1632472200.0,1632531600.0
8232,41.389952,-71.98761,1632474000.0,1632538800.0
8236,43.014795,-71.562531,1632470400.0,1632535200.0
8237,43.212642,-71.514958,1632466800.0,1632538800.0
8242,41.473579,-71.955168,1632474000.0,1632538800.0
8243,41.75409,-71.87852,1632474000.0,1632535200.0
8244,42.275702,-71.740119,1632474000.0,1632535200.0
8245,41.75411,-71.87708,1632474000.0,1632535200.0
8246,43.566888,-71.427315,1632474000.0,1632535200.0
8247,43.190938,-71.51338,1632470400.0,1632524400.0
8248,42.329151,-71.723832,1632472200.0,1632524400.0
8250,41.712833,-71.88083,1632470400.0,1632531600.0
8252,42.433187,-71.686486,1632474000.0,1632531600.0
8253,42.417486,-71.688743,1632472200.0,1632535200.0
8254,42.544268,-71.65517,1632474000.0,1632513600.0
8255,42.294507,-71.717837,1632474000.0,1632535200.0
8256,41.372308,-71.960083,1632474000.0,1632524400.0
8257,41.376733,-71.958226,1632470400.0,1632524400.0
8258,43.2298,-71.4819,1632470400.0,1632524400.0
8259,42.811844,-71.580263,1632470400.0,1632531600.0
8260,42.912479,-71.555013,1632474000.0,1632538800.0
8261,43.179724,-71.488571,1632470400.0,1632524400.0
8262,41.349041,-71.957878,1632474000.0,1632517200.0
8263,42.742853,-71.591153,1632472200.0,1632528000.0
8265,43.273565,-71.4621,1632470400.0,1632524400.0
8267,42.999323,-71.515838,1632470400.0,1632535200.0
8269,43.122381,-71.480273,1632470400.0,1632524400.0
8270,43.012413,-71.506191,1632475800.0,1632535200.0
8271,42.974987,-71.514344,1632474000.0,1632535200.0
8272,42.66569,-71.58513,1632472200.0,1632524400.0
8273,42.80473,-71.548308,1632474000.0,1632531600.0
8274,42.540042,-71.613552,1632474000.0,1632513600.0
8275,42.27517,-71.678844,1632474000.0,1632535200.0
8276,42.289675,-71.6746,1632488400.0,1632531600.0
8277,44.391463,-71.184398,1632474000.0,1632528000.0
8278,42.059943,-71.733533,1632474000.0,1632535200.0
8279,41.574957,-71.863104,1632470400.0,1632535200.0
8280,42.957964,-71.506143,1632474000.0,1632535200.0
8282,42.614063,-71.578124,1632477600.0,1632517200.0
8283,42.561573,-71.590691,1632474000.0,1632535200.0
8284,43.040001,-71.47093,1632474000.0,1632535200.0
8285,42.319875,-71.647244,1632470400.0,1632535200.0
8286,43.0777,-71.459048,1632474000.0,1632535200.0
8288,43.124272,-71.443085,1632470400.0,1632535200.0
8289,42.968073,-71.480282,1632470400.0,1632535200.0
8290,42.606489,-71.569273,1632477600.0,1632524400.0
8291,43.049492,-71.459938,1632470400.0,1632535200.0
8292,42.99165,-71.47347,1632477600.0,1632535200.0
8293,42.825465,-71.512335,1632474000.0,1632531600.0
8294,42.791265,-71.519512,1632472200.0,1632531600.0
8297,43.00129,-71.4644,1632474000.0,1632531600.0
8298,42.35692,-71.62387,1632474000.0,1632531600.0
8299,42.525802,-71.580722,1632474000.0,1632524400.0
8300,43.243454,-71.404805,1632472200.0,1632524400.0
8301,42.9431,-71.4754,1632474000.0,1632535200.0
8302,43.007458,-71.457461,1632470400.0,1632538800.0
8303,42.980822,-71.463603,1632470400.0,1632538800.0
8304,42.873588,-71.489412,1632474000.0,1632524400.0
8305,41.428588,-71.863487,1632470400.0,1632528000.0
8306,42.112535,-71.678827,1632474000.0,1632538800.0
8307,42.39702,-71.60332,1632474000.0,1632535200.0
8308,42.840375,-71.49176,1632470400.0,1632538800.0
8309,42.281208,-71.632206,1632474000.0,1632524400.0
8310,42.355742,-71.612685,1632495600.0,1632524400.0
8311,43.05073,-71.437823,1632470400.0,1632535200.0
8312,42.43009,-71.589069,1632474000.0,1632531600.0
8313,43.028537,-71.440175,1632470400.0,1632535200.0
8314,42.982228,-71.450332,1632470400.0,1632535200.0
8315,42.778256,-71.496931,1632470400.0,1632535200.0
8317,42.941973,-71.452404,1632470400.0,1632535200.0
8318,41.955725,-71.702583,1632466800.0,1632538800.0
8320,42.775084,-71.489992,1632474000.0,1632531600.0
8321,42.983917,-71.437869,1632474000.0,1632542400.0
8322,42.742367,-71.4943,1632470400.0,1632538800.0
8323,41.40184,-71.847142,1632470400.0,1632524400.0
8325,42.769688,-71.48661,1632474000.0,1632535200.0
8326,42.915338,-71.449749,1632470400.0,1632535200.0
